2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistosomiasis,,,,,Total,,,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,,,,Total
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ + PQ,Impact of DHA-PPQ + PQ,Impact of ART + NQ,Impact of ART + PPQ,Impact of AL + PQ,Impact of AS + AQ + PQ,Impact of SP,Impact of AS + MQ + PQ,Impact of QN + CL,Impact of QN + CD,Total Impact (p.falc),Impact of CQ + PQ,Impact of CQ,Impact of DHA-PPQ,Impact of QN,Impact of AL,Impact of AL + PQ,Impact of AS,Impact of AS + AQ,Impact of AS + AQ + PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,,Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,Total Impact (p.falc),CQ + PQ,CQ,DHA-PPQ,QN,AL,AL + PQ,AS,AS + AQ,AS + AQ + PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"6,980,303.31","46,613,513.87","7,943.32","1,229.77","16,737.99","29,255.06","53,648,983.32","29,575,488.81","1,630,125.96","14,710.97","15,027.34","20,377,914.04",0,0,0,0,0,0,0,0,0,0,"51,613,267.12","215,000.78",0,0,0,"53,190.43",0,0,0,0,"268,191.21","51,881,458.33","1,194,589.55","17,890.93","512,129.87","9,525.13","512,379.06","494,220.13","72,311.30","40,612.35","810,100.27","236,911.55","3,225.33",55.42,"3,903,950.89","38,554.01",0,"187,168.12","27,757.01",131.45,"1,609.90",293.71,0,"225,722.13","27,888.46","1,903.61","255,514.19","169,940.76","169,940.76","2,723.95","1,954.33","4,678.28","161,477,792.90",,Total,"4,692,255.69","30,070,572.63","120,813.51","18,704.08","210,002.91","57,774.49","35,170,123.30","12,919,085.65",0,0,14.96,14.39,"9,265,499.98","5,591.60",173.54,"75,168.40","461,346.94",0,0,"20,715.41",0,"9,445.53",5.64,0,0,"22,757,062.04","373,398.38","13,059.14",0,0,0,0,0,0,0,"386,457.52","23,143,519.56","723,859.19","53,923.11","344,272.47","1,907.48","9,003.45","423,147.44","145,653.32","83,224.99","357,235.17","465,245.24","2,607,471.86","265,447.39","54,833.55","386,913.07","4,887.28",0,"1,310.13",0,0,"707,194.02","4,887.28","1,310.13","713,391.43","101,769.74","101,769.74","82,701.92","82,701.92",389.91,"6,237.92","6,627.83","61,825,605.64"
Afghanistan,138.45,"547,006.04",0,0,0,104.64,"547,249.13",0,"3,531.74",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,531.74","43,687.67",0,,,0,0,,0,0,"43,687.67","47,219.41",8.55,0.02,3.61,0.07,3.68,3.65,0.6,0.23,6.02,1.92,0,0,28.35,,,,,,5.85,9.62,,-,-,15.46,15.46,,-,,,-,"598,044.08",,Afghanistan,"22,260.51","141,988.63","4,443.47",687.93,"8,247.45",479.68,"178,107.68",0,0,0,0,0,0,0,0,0,"1,719.98",0,0,0,0,0,0,0,0,"1,719.98","35,113.26",0,0,0,0,0,0,0,0,"35,113.26","36,833.23",36.67,3.07,17.26,0.11,0.52,21.21,7.33,4.62,17.86,23.32,131.97,"22,363.02","54,833.55",,,,,,,"77,196.58",0,0,"77,196.58",,0,,0,,,0,"292,269.46"
Albania,0,"3,016.78",0,0,0,0.09,"3,016.88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,1.15,0.16,0.42,0.01,0.59,0.38,0,0.15,0.62,0,0,0,3.48,,,,,,,,,-,-,-,-,,-,,,-,"3,020.36",,Albania,44.51,283.92,5.02,0.78,7.96,0.49,342.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,342.68
Algeria,"16,740.65","85,692.45",7.28,1.13,16.12,71.82,"102,529.44",0.4,0.27,0.39,0.39,0.33,0,0,0,0,0,0,0,0,0,0,1.77,0,0,,,0,0,,0,0,0,1.77,934.99,8.18,394.12,7.54,406.89,388.3,60.61,28.06,655.38,196.13,0,0,"3,080.20",,,,,,,,,-,-,-,-,,-,,,-,"105,613.19",,Algeria,"6,981.88","44,533.92",539.29,83.49,750.23,49.23,"52,938.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.21,3.3,78.27,0.1,0.46,141.82,51.33,15.76,84.54,162.9,731.68,,,,,,,,,0,0,0,0,,0,,0,,,0,"53,669.72"
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-,-,-,-,,-,,,-,0,,American Samoa,3.73,23.81,0,0,0,0,27.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.02,0,0,0.04,0.02,0,0.02,0.05,0.22,,,,,,,,,0,0,0,0,,0,,0,,,0,27.76
Andorra,0,31.8,0,0,0,0.02,31.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-,-,-,-,,-,,,-,31.82,,Andorra,1.09,6.95,0,0,0,0.01,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.07,0,0,0.14,0.05,0.01,0.08,0.16,0.7,,,,,,,,,0,0,0,0,,0,,0,,,0,8.75
Angola,"136,855.46","105,142.66",0.72,0.11,1.64,202.88,"242,203.47","1,698.59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,698.59",0,0,,,0,0,,0,0,0,"1,698.59","14,752.69",212.14,"6,188.41",121.22,"6,464.10","6,060.05",910.9,505.11,"10,241.87","2,953.37",0,0,"48,409.87",,,,"1,123.54",,35.76,,-,-,"1,123.54",35.76,"1,159.30",582.27,582.27,,-,-,"295,752.10",,Angola,"38,591.04","246,152.91",0,0,0,0,"284,743.95","253,448.86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"253,448.86",0,0,0,0,0,0,0,0,0,0,"253,448.86","1,118.87",74.65,510.35,2.67,12.55,688.5,241.68,128.35,533,767.37,"4,078.01",,,,,,,,,0,0,0,0,179.66,179.66,45.74,45.74,,195.23,195.23,"542,691.44"
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-,-,-,-,,-,,,-,0,,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
