,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,Worms,,,,Schistosomiasis,,,,,Total,,2013,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistosomiasis,,Onchocerciasis,,LF,,,Total
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ+PQ,Impact of DHA-PPQ+PQ,Impact of ART+NQ,Impact of ART+PPQ,Impact of AL+PQ,Impact of AS+AQ+PQ,Impact of SP,Impact of AS+MQ+PQ,Impact of QN+CL,Impact of QN+CD,Total Impact (p.falc),Impact of CQ+PQ,Impact of CQ,Impact of DHA-PPQ,Impact of QN,Impact of AL,Impact of AL+PQ,Impact of AS,Impact of AS+AQ,Impact of AS+AQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,,Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,Total Impact (p.falc),CQ+PQ,CQ,DHA-PPQ,QN,AL,AL+PQ,AS,AS+AQ,AS+AQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"6,980,303.31","46,613,513.87","7,943.32","1,229.77","16,737.99","29,255.06","53,648,983.32","29,575,488.81","1,630,125.96","14,710.97","15,027.34","20,377,914.04",0,0,0,0,0,0,0,0,0,0,"51,613,267.12","215,000.78",0,0,0,"53,190.43",0,0,0,0,"268,191.21","51,881,458.33","1,194,589.55","17,890.93","512,129.87","9,525.13","512,379.06","494,220.13","72,311.30","40,612.35","810,100.27","236,911.55","3,225.33",55.42,"3,903,950.89","34,000.74",0,"233,918.12","26,095.31",93.99,"1,609.90",293.71,0,"267,918.86","26,189.30","1,903.61","296,011.77","169,940.76","169,940.76","2,723.95","1,954.33","4,678.28","109,905,023.35",,Total,"4,359,659.14","38,911,035.09","14,411.13","2,231.10","26,886.17","56,132.34","43,370,354.97","10,866,626.49",0,0,55.97,54.13,"7,898,331.47",559.22,738.57,"22,119.06","1,305.24",0,0,28.5,0,0,147.58,0,0,"18,789,966.23","19,321.66","139,705.16",0,0,16.71,0,0,0,0,"159,043.53","18,949,009.76","1,438,383.19","10,764.21","745,356.20","1,290.14","475,988.91","358,462.45","140,939.40","10,440.65","1,143,019.29","344,166.90","4,668,811.33","49,522.14","20,329.02","5,000.95","56,388.40","2,132.96","2,557.88",319.26,0,"74,852.10","58,521.35","2,877.15","136,250.60","93,545.15","93,545.15","58,646.82","58,646.82","1,135.12","1,230.90","2,366.02","67,278,984.65"
Afghanistan,138.45,"547,006.04",0,0,0,104.64,"547,249.13",0,"3,531.74",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,531.74","43,687.67",0,,,0,0,,0,0,"43,687.67","47,219.41",8.55,0.02,3.61,0.07,3.68,3.65,0.6,0.23,6.02,1.92,0,0,28.35,,,,,,5.85,9.62,,-,-,15.46,15.46,,-,,,-,"594,512.34",,Afghanistan,321.75,"418,114.79",17.43,2.7,30.54,423.75,"418,910.96",0,0,0,0,0,0,0,0,0,124.64,0,0,0,0,0,0,0,0,124.64,"2,527.40",0,0,0,0,0,0,0,0,"2,527.40","2,652.04",43.96,0.12,22.27,0.04,15.02,11.96,4.4,0.19,35.24,10.84,144.04,"15,614.46","20,329.02",,,,14.06,24.45,,"35,943.47",0,38.51,"35,981.98",,0,,0,,,0,"457,689.02"
Albania,0,"3,016.78",0,0,0,0.09,"3,016.88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,1.15,0.16,0.42,0.01,0.59,0.38,0,0.15,0.62,0,0,0,3.48,,,,,,,,,-,-,-,-,,-,,,-,"3,020.36",,Albania,12.06,915.68,0,0,0,0.05,927.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,927.78
Algeria,"16,740.65","85,692.45",7.28,1.13,16.12,71.82,"102,529.44",0.4,0.27,0.39,0.39,0.33,0,0,0,0,0,0,0,0,0,0,1.77,0,0,,,0,0,,0,0,0,1.77,934.99,8.18,394.12,7.54,406.89,388.3,60.61,28.06,655.38,196.13,0,0,"3,080.20",,,,,,,,,-,-,-,-,,-,,,-,"105,611.41",,Algeria,"5,183.39","49,247.39",0,0,0,69.28,"54,500.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.42,0,0,0,0,0,0,0,18.42,18.42,61.83,0,32.23,0,21.11,15.55,5.67,0,50.67,13.96,201.03,,,,,,,,,0,0,0,0,,0,,0,,,0,"54,719.52"
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-,-,-,-,,-,,,-,0,,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0.14,0,0.09,0.07,0.03,0,0.22,0.06,0.88,,,,,,,,,0,0,0,0,,0,,0,,,0,0.88
Andorra,0,31.8,0,0,0,0.02,31.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-,-,-,-,,-,,,-,31.82,,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.08,0,0.06,0.04,0.02,0,0.13,0.04,0.53,,,,,,,,,0,0,0,0,,0,,0,,,0,0.53
Angola,"136,855.46","105,142.66",0.72,0.11,1.64,202.88,"242,203.47","1,698.59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,698.59",0,0,,,0,0,,0,0,0,"1,698.59","14,752.69",212.14,"6,188.41",121.22,"6,464.10","6,060.05",910.9,505.11,"10,241.87","2,953.37",0,0,"48,409.87",,,,"1,040.53",,35.76,,-,-,"1,040.53",35.76,"1,076.29",582.27,582.27,,-,-,"293,970.49",,Angola,"25,485.33","294,577.99",46.21,7.15,65.86,723.05,"320,905.59","259,828.03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"259,828.03",0,0,0,0,0,0,0,0,0,0,"259,828.03","3,625.00",24.25,"1,864.27",7.08,"1,230.32",936.34,342.91,37.04,"2,923.68",845.54,"11,836.44",,,,"1,634.71",,53.01,,-,0,"1,634.71",53.01,"1,687.72",655.92,655.92,43.76,43.76,,-,0,"594,957.47"
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-,-,-,-,,-,,,-,0,,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Antigua and Barbuda,21.31,6.52,0,0,0,0.03,27.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,4.17,0.08,3.19,0.03,0.2,2.65,0.24,0.13,0.21,1.01,0.42,0.02,12.35,,,,,,,,,-,-,-,-,,-,,,-,40.21,,Antigua and Barbuda,28.63,50.8,0,0,0,0.11,79.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.02,3.61,12.15,0,0,0,5.48,2.1,4.57,11.74,61.66,,,,,,,,,0,0,0,0,,0,,0,,,0,141.21
Argentina,"15,326.58","15,657.76",0,0,0,25.23,"31,009.56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,,,0,0,,0,0,1.09,1.09,408.49,8.47,307.37,0.79,20.14,271.14,24.33,9.93,12.54,101.78,42.35,0.47,"1,207.82",,,,,,,,,-,-,-,-,,-,,,-,"32,218.47",,Argentina,"6,082.78","18,175.40",0,0,0,8.95,"24,267.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.65,32.35,110.76,0,0,0,49.3,18.79,40.99,105.83,557.67,,,,,,,,,0,0,0,0,,0,,0,,,0,"24,824.79"
Armenia,70.92,"7,813.62",24.05,3.72,62.78,3.42,"7,978.51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,78.11,0.19,33.1,0.62,33.72,32.86,5.34,1.98,55.33,17.25,0,0,258.5,,,,,,,,,-,-,-,-,,-,,,-,"8,237.01",,Armenia,178.39,"5,102.89",21,3.25,35.16,6.95,"5,347.64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,0,4.13,0,2.77,2.16,0.8,0,6.55,1.96,26.46,,,,,,,,,0,0,0,0,,0,,0,,,0,"5,374.11"
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-,-,-,-,,-,,,-,0,,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Australia,70.08,"2,955.47",4.14,0.64,6.62,0.23,"3,037.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,23.33,0.13,9.88,0.18,10.13,9.67,1.53,0.64,16.48,4.95,0,0,76.92,,,,,,,,,-,-,-,-,,-,,,-,"3,114.10",,Australia,38.83,"2,082.06",2.14,0.33,4.71,0.45,"2,128.52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.32,0,7.38,0,4.9,3.72,1.36,0.01,11.64,3.36,46.69,,,,,,,,,0,0,0,0,,0,,0,,,0,"2,175.21"
Austria,360.67,"1,846.20",2.49,0.39,4.68,0.26,"2,214.69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0.85,0.12,0.31,0.01,0.43,0.28,0,0.11,0.46,0,0,0,2.58,,,,,,,,,-,-,-,-,,-,,,-,"2,217.26",,Austria,135.65,"1,288.76",0.27,0.04,0.39,0.72,"1,425.82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,425.82"
Azerbaijan,191.18,"38,012.84",26.47,4.1,92.37,31.45,"38,358.41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,,,0,0,,0,0,0.1,0.1,126.59,0.29,53.71,0.99,54.68,53.04,8.59,3.17,89.8,27.8,0,0,418.67,,,,,,,,,-,-,-,-,,-,,,-,"38,777.18",,Azerbaijan,330.43,"29,356.63",54.87,8.49,96.53,77.39,"29,924.34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.77,0,16.25,0,10.88,8.45,3.1,0,25.71,7.63,103.79,,,,,,,,,0,0,0,0,,0,,0,,,0,"30,028.13"
Bahamas,90.92,147.71,0,0,0,0.19,238.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-,-,-,-,,-,,,-,238.82,,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Bahrain,30.41,"1,200.99",0,0,0,0.81,"1,232.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,10.06,0.08,4.25,0.08,4.38,4.16,0.65,0.29,7.08,2.1,0,0,33.13,,,,,,,,,-,-,-,-,,-,,,-,"1,265.33",,Bahrain,24.34,476.79,0,0,0,0.09,501.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,1.06,0,0.7,0.53,0.2,0,1.67,0.48,6.69,,,,,,,,,0,0,0,0,,0,,0,,,0,507.9
